Name,DLdown,DLup,ULdown,ULup,BWmax,Mode
1.7,1825000,1845000,1730000,1750000,20000,FDD
3.7,3800000,3900000,,,100000,TDD
28,27000000,27400000,,,400000,TDD
1.7,1860000,1880000,1765000,1785000,20000,FDD
