Name,DLdown,DLup,ULdown,ULup,BWmax,Mode
700,773000,783000,718000,728000,10000,FDD
800,860000,875000,815000,830000,15000,FDD
1.5,1485900,1495900,1437900,1447900,10000,FDD
1.7,1805000,1825000,1710000,1730000,20000,FDD
2,2110000,2130000,1920000,1940000,20000,FDD
2.3,2330000,2370000,,,40000,TDD
2.5,2595000,2645000,,,50000,TDD
3.5,3520000,3560000,,,40000,TDD
3.7,3700000,3800000,,,100000,TDD
4,4000000,4100000,,,100000,TDD
28,27800000,28200000,,,100000,TDD
